T	I	Q
766	-0.010238060356192727	-0.009653580034793413
767	-0.009879540568387893	-0.010023093911415345
768	-0.010084421776959061	-0.010386968271582009
769	-0.009891878919680313	-0.010738572781265976
770	-0.00966344080321287	-0.011004729454983316
771	-0.009627160829284548	-0.01142361454967031
772	-0.00967924158716196	-0.01175642745759178
773	-0.009284599833268294	-0.012099263910404261
774	-0.009225140796277264	-0.012483429671535123
775	-0.00886485544261377	-0.012771268962670728
776	-0.008678220704550767	-0.013120932555740728
777	-0.008545555948533002	-0.013397676047352433
778	-0.008107956672016007	-0.013639727351094916
779	-0.008128023667631351	-0.01404104918635203
780	-0.007592356482039031	-0.014300351574124943
781	-0.007387564582246705	-0.01453387234575639
782	-0.006743036865151225	-0.014626283050415077
783	-0.006832544871269783	-0.015104108217802423
784	-0.006520877842827031	-0.015394533135616076
785	-0.0062976127656264	-0.015713169208549517
786	-0.0058555274404490775	-0.01597129754536363
787	-0.005300775655808684	-0.016134456696527924
788	-0.005068476652132813	-0.01637954831720417
789	-0.004757173728711496	-0.016717912518098454
790	-0.004344841966700915	-0.016765213877536735
791	-0.003987311445369414	-0.0170395481894353
792	-0.003706332287318219	-0.01735162857898031
793	-0.0031531880606969933	-0.01745180973651659
794	-0.0028186305052462558	-0.01768281274568726
795	-0.0023739277458582364	-0.017935769829145284
796	-0.0019708634871291	-0.01809691341305661
797	-0.001463775110766437	-0.01822460672427478
798	-0.0012068200142239221	-0.01847962687993786
799	-0.0005812532378673495	-0.018342704035170753
800	-0.000280385701758496	-0.01866207304165073
801	0.00022293109617457958	-0.018764167970114067
802	0.0006542650183604565	-0.018984679171294556
803	0.0012789318370225373	-0.01900545240820138
804	0.0016985456994618288	-0.01926813443399442
805	0.0021530930342407374	-0.019338808229861025
806	0.00269671557105612	-0.01925104622408544
807	0.003156360376135126	-0.0193095383929518
808	0.00361568916553515	-0.019331702846312693
809	0.004212237458673917	-0.019251840235427517
810	0.004619952643808938	-0.019382092027636827
811	0.005183092583754478	-0.01934385732762603
812	0.005684204141840746	-0.019514087930230017
813	0.0062462242870977205	-0.01944100495465027
814	0.006784289069906663	-0.019322100059568765
815	0.007263987130788883	-0.019387799408309366
816	0.007847702439398562	-0.019314784296946892
817	0.008266691140385956	-0.019223995547080996
818	0.008754358292303368	-0.019092237169248256
819	0.009440318412875785	-0.019196863433015823
820	0.009891829249174044	-0.018886913979893144
821	0.010408068340415048	-0.01872762308911333
822	0.010971805962188228	-0.018701529297572416
823	0.011562061421371618	-0.018699642672332265
824	0.011907342900189542	-0.01831066533819685
825	0.012431269416317082	-0.018272267764064598
826	0.013099869284263696	-0.018131931349168736
827	0.013531656620249851	-0.017963594158226626
828	0.01397247101280518	-0.0176646047761933
829	0.01468740152725295	-0.01759566151786712
830	0.015012554181300947	-0.01720617520210217
831	0.015602548584053876	-0.017090181681941614
832	0.016263818262229324	-0.01703776336052106
833	0.016669067151087073	-0.016686260647162998
834	0.01714177851750137	-0.016415808168492366
835	0.017586646154634945	-0.016111423581185953
836	0.017909538609587616	-0.015672104570678493
837	0.01857132353071793	-0.015639027551180334
838	0.01899823323339806	-0.015200366823580407
839	0.019610932675695223	-0.014991630064096534
840	0.02013911853358295	-0.014767433835918201
841	0.02035187952441047	-0.014250104907657078
842	0.02110851723857777	-0.014079338177736645
843	0.021284125777406734	-0.013515040424701873
844	0.021719238147928262	-0.013197137285314966
845	0.022168426955976612	-0.012814505255494442
846	0.022781827128692384	-0.012512048011958541
847	0.023167510525077522	-0.0121770430898192
848	0.023716532808059857	-0.01188519980986457
849	0.024181584229211878	-0.01153269949251262
850	0.024587396450366943	-0.011051820435348055
851	0.024794077574327094	-0.010660732524055493
852	0.025169215664902732	-0.010125589238760585
853	0.02540472978461694	-0.009722475788167503
854	0.02611035844625294	-0.009455185782021727
855	0.026296223754836683	-0.009034434421359766
856	0.026935550953041093	-0.008599010816923693
857	0.027376997376954388	-0.008233066598130244
858	0.02751232078661924	-0.007769927247360465
859	0.027916422401164164	-0.007349596644845587
860	0.028273540728131773	-0.0068532241868779235
861	0.028500130839867778	-0.00640245648291675
862	0.0291873206736258	-0.006044940999908431
863	0.02932510350966186	-0.005560417634276382
864	0.029495085595423735	-0.0050893245972423755
865	0.030126993295078137	-0.0046361816456766975
866	0.029942982861131895	-0.004149893810395588
867	0.03034423346465992	-0.003789324437610048
868	0.03076250769541657	-0.003243112498478149
869	0.031160343955630377	-0.0028909243565256476
870	0.03143898047571347	-0.0024303095546383702
871	0.03179096698285066	-0.001957499552907393
872	0.03165403601516664	-0.0015355334227562707
873	0.031907590508207066	-0.0010628320037729283
874	0.0323668780781707	-0.0006155050156274229
875	0.032297814912501055	-0.00021538437701601652
876	0.03296572091993512	0.0003029625145041791
877	0.03273043350712105	0.000765036397062795
878	0.033007352550687936	0.0011357311110652517
879	0.03304899792125288	0.001631479218234017
880	0.033388460589633906	0.0020046034712147957
881	0.033545781438518316	0.0024489987251741694
882	0.03365240238064434	0.0028711209430250166
883	0.03382458970625303	0.003314070689156506
884	0.03400641551007066	0.0036935266736087217
885	0.03411516612307678	0.0040685171925644685
886	0.03439876958524474	0.004450233055451827
887	0.03453980875675552	0.004850842316427588
888	0.03466083589189948	0.005277484291148721
889	0.0346498165625715	0.005672963017298752
890	0.03494744150301776	0.006108094805600558
891	0.034513029862914844	0.0063847636465732644
892	0.034694587740395945	0.006828052713791112
893	0.0348634019421268	0.007209897518691287
894	0.03493789920349372	0.007540151945621619
895	0.034957375387187496	0.0079078538476424
896	0.034929023284857974	0.00824925836547045
897	0.03490679226883221	0.008587385041604284
898	0.03496634748450815	0.008906604746806261
899	0.03521924933647242	0.009296104635414668
900	0.03519931286907231	0.009638486397971428
901	0.03505280525233393	0.009932989955243101
902	0.034953816775845914	0.010221772558998782
903	0.03496748788891491	0.010612643304796075
904	0.034676258831015	0.010848464673393027
905	0.03482968444316066	0.01119626200048806
906	0.03470052333923595	0.011431581173877202
907	0.03476646069764611	0.011772578506401624
908	0.03459233605852714	0.011974976747992331
909	0.03444787567379608	0.012251604870434675
910	0.03440132519030085	0.012493744397659611
911	0.034471405102068094	0.012823537347912497
912	0.03420316961976714	0.0129823260434845
913	0.034005275105663896	0.013284369315295044
914	0.03392261639589196	0.01348216636295474
915	0.03382515303855034	0.013778237583645386
916	0.03365082230224944	0.013993068549840245
917	0.03349640742363044	0.0142414855171628
918	0.033354976667473966	0.014423897746767033
919	0.03327189889343208	0.014716568970172376
920	0.03305467246366243	0.01485437404976401
921	0.03275325533506839	0.015029959139110724
922	0.03250913322305496	0.015220487929100636
923	0.03242587683145539	0.0154265983433761
924	0.032208932067834393	0.01562381175876726
925	0.03190152438115183	0.015682846841371792
926	0.031673347321114854	0.015944707710135845
